Number,Dn,Ur,Keyword,Kd,HeaderCount,ListsCount,InternalLinksSoup,ExternalLinksSoup,InternalLinksSEMrush,ExternalLinksSEMrush,BacklinksSEMrush,Total Images,Image Tags,Content-length,META-Title,META-Description,Creation Date
20,praxis.nl,https://www.praxis.nl/bouwmaterialen/b1/,bouwmaterialen,82.48,4.0,17.0,518.0,14.0,43.0,71.0,4246.0,32,"['None', 'None', 'CanDo ruwe lat voordeelpak vurenhout 22x48mm 270cm 8 stuks', 'CanDo ruwe lat voordeelpak vurenhout 22x48mm 210cm 8 stuks', 'CanDo schaaflat voordeelpak vurenhout 44x69mm 270cm 3 stuks', 'Weberbeamix Metselmortel ECO Actie 23kg', 'Weber Zandcement super sterk eco Actie 23kg', 'Schaaflat vuren 12x117mm 270cm', 'Schaaflat vuren 27x55mm 210cm', 'Schaaflat vuren 27x55mm 270cm', 'Schaaflat vuren 27x35mm 210cm', 'OSB paneel 18mm 244x59cm', 'CanDo schaaflat voordeelpak vurenhout 44x69mm 300cm 3 stuks', 'Schaaflat vuren 27x27mm 210cm', 'Schaaflat vuren 27x140mm 270cm', 'Multiplex underlayment T&G 122x244cm 18mm', 'Hardhouten multiplex 61x122cm 3,6mm', 'Hardhouten multiplex 122x244cm 3,6mm', 'Hardhouten multiplex 122x244cm 18mm', 'Hardhouten multiplex 61x122cm 12mm', 'Hardboard wit 3 mm 122 x 244cm', 'Hardhouten multiplex 61x122cm 9mm', 'CanDo ruwe lat voordeelpak vurenhout 22x31mm 210cm 12 stuks', 'Hardhouten multiplex 61x122cm 18mm', 'CanDo ruwe lat voordeelpak vurenhout 22x31mm 270cm 12 stuks', 'CanDo ruwe lat voordeelpak vurenhout 46x46mm 270cm 4 stuks', 'Ontdek het op Google Play', 'None', 'None', 'None', 'None', 'None']",450,Bouwmaterialen voor iedere bouwklus | Praxis ,"Bouwmaterialen voor dakbedekking, isolatie of een andere klus nodig? Bekijk en reserveer bouwmaterialen zoals hout en steigers direct op Praxis.nl. ",None
21,bouwhof.nl,https://www.bouwhof.nl/bouw/bouwmaterialen/,bouwmaterialen,82.48,2.0,33.0,59.0,6.0,,,51.0,5,"['Bouwhof', 'Bouwhof.nl', 'Bouwhof: Twitter', 'Bouwhof: Facebook', 'Bouwhof: Youtube']",300,Bouwmaterialen - Bouwhof Zoetermeer Bouwmaterialen,"Bouwhof verkoopt bouwmaterialen o.a. cement, beton dakbedekking golfplaten isolatie bouwlijmen in merken als Knauf Weber saint-Gobain Beamix Schönox",None
22,bakkerdehouthandel.nl,https://www.bakkerdehouthandel.nl/blog/bouwmaterialen/,bouwmaterialen,82.48,1.0,8.0,117.0,0.0,,,11.0,4,"['None', 'Bakker dé Houthandel', 'bouwmaterialen', 'webshop']",32,NaN,NaN,None
23,nelemans.nl,https://www.nelemans.nl/bouwcenter/bouwmaterialen/,bouwmaterialen,82.48,3.0,8.0,134.0,52.0,,,16.0,55,"['None', 'None', 'Bouwmarkt Roosendaal - Bouwcenter Nelemans', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",453,Bouwmaterialen kopen? Ruim 15.000 op Voorraad | Bouwcenter Nelemans,"Bouwmaterialen voor je project. Scherpe prijzen. Professionele kwaliteit. Voor zakelijk & particulier. (Online)bestellen, bezorgen & afhalen.",None
24,oke-bouwmaterialen.nl,https://www.oke-bouwmaterialen.nl/,bouwmaterialen,82.48,6.0,7.0,598.0,11.0,30.0,4.0,14.0,54,"['OKe-Bouwmaterialen.nl', 'OKe-Bouwmaterialen.nl', 'Empty cart', 'Qshops Keurmerk', 'Qshops Keurmerk', 'Qshops Keurmerk', 'Tempex EPS100 1000x1000x50 mm', 'Gipsplaat AK 2600x600x12,5 mm waterwerend groen', 'MDF plaat 2440x1220x18 mm', 'OSB-3 plaat 2440x1220x18 mm tong en groef', 'Gipsplaat AK standaard 3600x1200x12,5 mm', 'Rockwool 210 1200x600x100 mm Bouwplaat isolatie', 'Vurenhout geschaafd 50x75x4800 mm', 'Hardhout multiplex plaat 2440x1220x18 mm', 'Rockwool 123 5000x600x100 mm Spijkerflensdeken', 'OSB-3 2440x610x18 mm 4-zijdig tong en groef', 'Gipsplaten RK standaard 2600x600x9,5 mm', 'Klantenservice', 'Rockwool 210 1200x600x100 mm Bouwplaat isolatie', 'Vurenhout geschaafd 50x75x4800 mm', 'Hardhout multiplex plaat 2440x1220x18 mm', 'Rockwool 123 5000x600x100 mm Spijkerflensdeken', 'OSB-3 2440x610x18 mm 4-zijdig tong en groef', 'Klantenservice', 'Rockwool 210 1200x600x100 mm Bouwplaat isolatie', 'Vurenhout geschaafd 50x75x4800 mm', 'Hardhout multiplex plaat 2440x1220x18 mm', 'Rockwool 123 5000x600x100 mm Spijkerflensdeken', 'OSB-3 2440x610x18 mm 4-zijdig tong en groef', 'Vialit Oecophalt Asfalt Reparatie Reactive 0/4', 'Vialit Primer voor Asfalt Reparatie Reactive 0/4', 'Vialit Refug Asfalt Reparatie koude voegvuller 285 ml', 'Vurenhout geschaafd kopmaat 100x200 mm', 'Vurenhout geschaafd kopmaat 75x250 mm', 'Vurenhout geschaafd kopmaat 75x200 mm', 'Vurenhout geschaafd kopmaat 75x225 mm', 'Vurenhout geschaafd kopmaat 75x175 mm', 'Vurenhout geschaafd kopmaat 63x160 mm', 'Vurenhout geschaafd kopmaat 63x175 mm', 'Hout', 'Plaat', 'Isolatie', 'Gipsplaten', 'VBI PS Renovatievloer', 'VBI PS Renovatievloer', 'OKe-Bouwmaterialen.nl Bouwmaterialen Online', 'banktransfer', 'paypal', 'mastercard', 'visa', 'americanexpress', 'ideal', 'Qshops Keurmerk', 'Qshops Keurmerk']",1586,Bouwmaterialen online bestellen - OKe-Bouwmaterialen.nl,Bouwmaterialen online bestellen bij OKe-Bouwmaterialen.nl voor al uw bouwmaterialen. Wij leveren bouwmaterialen aan bedrijven en particulieren.,None
25,gebruiktebouwmaterialen.com,https://gebruiktebouwmaterialen.com/,bouwmaterialen,82.48,8.0,7.0,197.0,7.0,117.0,77.0,208.0,47,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",57,Gebruiktebouwmaterialen.com | Circulaire Bouwmarkt,NaN,None
26,bouwcenter.nl,https://www.bouwcenter.nl/driessen/bouwmaterialen/,bouwmaterialen,82.48,5.0,5.0,51.0,10.0,,,14.0,8,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']",302,Bouwmaterialen | Bouwcenter,,None
27,hout-en-bouwmaterialen.nl,http://www.hout-en-bouwmaterialen.nl/,bouwmaterialen,82.48,2.0,7.0,109.0,1.0,0.0,0.0,4.0,2,"['None', 'Uw leverancier voor hout en bouwmaterialen voor nieuwbouw, verbouwing en renovatie: BPG Boxtel']",395,"Bouwmaterialen | Hout & bouwmaterialen voor nieuwbouw, verbouwing en renovatie - BPG BouwPartner Groep","Hout & bouwmaterialen voor particulier en professional in de bouw. Bouwmaterialen voor nieuwbouw, verbouwing en renovatie. Levering in geheel Nederland. BPG Boxtel",None
28,witzand.nl,https://www.witzand.nl/assortiment/bouwmaterialen/,bouwmaterialen,82.48,5.0,2.0,109.0,19.0,13.0,95.0,15.0,19,"['logo', 'image', 'image', 'image', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'img', 'youtube icon']",543,NaN,NaN,None
29,coppushorst.nl,https://coppushorst.nl/bouwmaterialen/,bouwmaterialen,82.48,4.0,5.0,106.0,1.0,,,8.0,10,"['Coppus Bouwmaterialen Horst', 'Coppus Bouwmaterialen Horst', 'Coppus Bouwmaterialen Horst', 'blank', 'Botament A 220', 'Botament G 110', 'Botament G 120', 'Botament G 140', 'Glazen bouwsteen', 'Verdiepingsvloeren']",55,Bouwmaterialen Archieven - Coppus Bouwmaterialen Horst,,None
30,3mnederland.nl,https://www.3mnederland.nl/3M/nl_NL/p/c/bouwmaterialen/,bouwmaterialen,82.48,,,,,,,4.0,0,NaN,55,NaN,NaN,None
31,crijnsbouwmaterialen.nl,https://www.crijnsbouwmaterialen.nl/nl/bouwmaterialen-kopen,bouwmaterialen,82.48,,15.0,28.0,3.0,,,1.0,0,NaN,417,Bouwmaterialen kopen | Crijns Bouwmaterialen B.V.,"Wij verkopen bouwmaterialen in de vorm van balken, tegels voor binnenruimtes, tegels voor buiten, isolatiematerialen, stenen, zand en staal.",None
32,kombibouwmaterialen.nl,https://www.kombibouwmaterialen.nl/producten/bouwmaterialen/,bouwmaterialen,82.48,2.0,7.0,91.0,8.0,,,2.0,19,"['KOMBI Bouwmaterialen', 'KOMBI Bouwmaterialen', 'None', 'kombi-08-02-2018-WEB-92', 'kombi-08-02-2018-WEB-93', 'kombi-08-02-2018-WEB-95', 'kombi-08-02-2018-WEB-98', 'kombi-08-02-2018-WEB-104', 'kombi-08-02-2018-WEB-12', 'kombi-08-02-2018-WEB-113', 'kombi-08-02-2018-WEB-111', 'kombi-08-02-2018-WEB-97', 'kombi-08-02-2018-WEB-112', 'kombi-08-02-2018-WEB-103', 'kombi-08-02-2018-WEB-110', 'kombi-08-02-2018-WEB-50', 'kombi-08-02-2018-WEB-32', 'kombibouwmaterialen-thumbnail-bouwmaterialen', 'None']",252,Bouwmaterialen - KOMBI Bouwmaterialen,Op deze pagina hebben wij een overzicht gemaakt van de bouwmaterialen die wij verkopen. Heb je vragen? Neem gerust contact op!,None
33,vlaandergroep.nl,https://www.vlaandergroep.nl/bouwmaterialen/,bouwmaterialen,82.48,4.0,11.0,47.0,12.0,43.0,95.0,,11,"['Vlaandergroep logo', '600_bouwmaterialen.png', '100_icons_0007_vector_smart_object.png', '100_icons_0006_vector_smart_object.png', '100_icons_0004_vector_smart_object.png', '100_icons_0003_vector_smart_object.png', 'None', 'None', 'None', 'None', 'Vlaander Groep']",377,Welkom > Bouwmaterialen - Vlaander Groep,,None
34,eco-bouwmaterialen.nl,https://www.eco-bouwmaterialen.nl/,bouwmaterialen,82.48,5.0,7.0,369.0,9.0,11.0,196.0,2.0,17,"['eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen', 'eco-bouwmaterialen']",428,Natuurlijk & duurzaam bouwen | Eco-bouwmaterialen,Op zoek naar producten voor je verbouwing of nieuw project? Eco-bouwmaterialen biedt een ruim aanbod aan duurzame materialen aan. Kijk snel verder.,None
